Vrsta dela,Naslov oglasa,Kraj,Placilo,Prosta mesta,Trajanje,Delovnik,Začetek dela
KONTROLA KAKOVOSTI,Brez naslova,ŠKOFJA LOKA,6.45,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,10. 9. 2025
DELO NA BENCINSKEM SERVISU,Brez naslova,RAČE,7.12,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
DELO S STRANKAMI,Brez naslova,LJUBLJANA,7.31,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 10. 2025
ADMINISTRATIVNA DELA,DIGITALNI MARKETING,MARIBOR,6.62,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,8. 9. 2025
POMOČ V STREŽBI,DELO NA BLAGAJNI,LJUBLJANA,9.47,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,5. 9. 2025
POMOČ NA PODROČJU MARKETINGA,Brez naslova,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,8. 9. 2025
ADMINISTRATIVNA DELA,DELO V LOGISTIKI,LESKOVEC PRI KRŠKEM,6.45,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,22. 9. 2025
STREŽBA,Brez naslova,BLED,10.0,Brez podatka,PO DOGOVORU,POPOLDAN,Brez podatka
POMOČ V STREŽBI,Brez naslova,LJUBLJANA,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
VZDRŽEVANJE,HIŠNIK,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
ORGANIZACIJSKA DELA,ADMINISTRATIVNA DELA,CERKNICA,8.6,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO Z OTROKI,VADITELJ/ICA,LJUBLJANA,9.5,15,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,22. 9. 2025
DELO V PROIZVODNJI,Brez naslova,KRANJ,6.32,8,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
STREŽBA,Brez naslova,GORENJE,6.5,3,PO DOGOVORU,PO DOGOVORU,1. 9. 2025
DELO V SKLADIŠČU,Brez naslova,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
DELO NA TERENU,CATERING,LJUBLJANA,8.3,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
LAŽJA FIZIČNA DELA,Brez naslova,LATKOVA,7.0,4,PO DOGOVORU,DOPOLDAN,1. 9. 2025
